STA,LON,LAT
APAC,-76.58042,7.90028
ARGC,-74.2458,9.8577
BAR2,-73.18378,6.5918
BBAC,-77.2469,2.0216
BET,-75.4179,2.7225
CAP2,-77.359,8.646
CBOC,-76.0122,5.8645
CHI,-73.7317,4.6295
CRJC,-72.8816,11.02
CRU,-76.952,1.5678
CUM,-77.8249,0.9414
DBB,-76.2097,7.0174
FLO2,-75.6525,1.5825
GARC,-75.4938,2.1867
GUA,-72.6239,2.5421
GUY2C,-75.3829,5.226
HEL,-75.529,6.1909
JAMC,-76.67344,3.21483
LCBC,-76.3677,8.8573
MACC,-73.8477,2.1452
MAL,-77.3318,4.01
MAP,-81.6065,4.0036
NOR,-74.8691,5.5635
OCA,-73.3196,8.2389
ORTC,-75.2461,3.9093
PAL,-76.2825,4.9056
PAM,-72.6996,7.3395
PGA6,-71.3322,3.7747
PIZC,-77.3597,4.9653
POP2,-76.6761,2.5403
PRA,-74.8861,3.7139
PRV,-81.3633,13.376
PTA,-77.8085,7.1422
PTB,-74.4564,6.5395
PTGC,-72.134,4.199
PTLC,-74.797,-0.17042
ROSC,-74.3211,4.8449
RUS,-73.0832,5.8925
SJC,-75.1796,9.8967
SMAR,-74.2245,11.1638
SOL,-77.40543,6.22364
SPBC,-74.0724,5.6522
TAM,-71.7913,6.4354
TUM,-78.7268,1.8237
URE,-75.5326,7.7517
URI,-71.9925,11.7017
VIL,-73.6935,4.112
YOT,-76.3451,3.9834
ZAR,-74.858,7.4923
YPLC,-72.3802,5.3969
URMC,-74.37872,3.24723
BRJC,-73.7442,6.9732
SAIC,-81.71199,12.5374
SERC,-80.36491,14.28628
RNCC,-80.09181,13.57356
CLBC,-74.80126,3.37761
QUBC,-76.51921,5.74875
PLNC,-75.64553,3.19433
GRPC,-78.17288,2.96744
DORAC,-73.8528,3.7299
ARAMC,-73.9433,3.3492
BRQC,-74.84693,11.0165
BCHC,-72.5993,7.7068
AGCC,-73.5852,8.5121
