LON,LAT,GAP
-73.76406,3.90422,322.04
-73.76406,3.90522,321.86
-73.76406,3.90622,321.68
-73.76406,3.90722,321.51
-73.76406,3.90822,321.35
-73.76406,3.90922,321.19
-73.76406,3.91022,321.03
-73.76406,3.91122,320.88
-73.76406,3.91222,320.74
-73.76406,3.91322,320.60
-73.76406,3.91422,320.47
-73.76406,3.91522,320.34
-73.76406,3.91622,320.23
-73.76406,3.91722,320.12
-73.76406,3.91822,320.02
-73.76406,3.91922,319.54
-73.76406,3.92022,315.57
-73.76406,3.92122,311.55
-73.76406,3.92222,307.53
-73.76406,3.92322,303.58
-73.76406,3.92422,299.74
-73.76406,3.92522,296.07
-73.76406,3.92622,292.60
-73.76406,3.92722,289.35
-73.76406,3.92822,286.35
-73.76406,3.92922,283.59
-73.76406,3.93022,281.09
-73.76406,3.93122,278.83
-73.76406,3.93222,276.80
-73.76406,3.93322,274.99
-73.76406,3.93422,273.40
-73.76406,3.93522,271.99
-73.76406,3.93622,270.77
-73.76406,3.93722,269.71
-73.76406,3.93822,268.80
-73.76406,3.93922,268.04
-73.76406,3.94022,267.40
-73.76406,3.94122,266.89
-73.76406,3.94222,266.48
-73.76406,3.94322,266.18
-73.76406,3.94422,265.98
-73.76406,3.94522,265.87
-73.76406,3.94622,265.83
-73.76406,3.94722,265.88
-73.76406,3.94822,266.00
-73.76406,3.94922,266.19
-73.76406,3.95022,266.44
-73.76406,3.95122,266.75
-73.76406,3.95222,267.12
-73.76406,3.95322,267.54
-73.76406,3.95422,268.01
-73.76406,3.95522,268.53
-73.76406,3.95622,269.10
-73.76406,3.95722,269.70
-73.76406,3.95822,270.35
-73.76406,3.95922,271.04
-73.76406,3.96022,271.76
-73.76406,3.96122,272.52
-73.76406,3.96222,273.31
-73.76406,3.96322,274.13
-73.76406,3.96422,274.97
-73.76406,3.96522,275.68
-73.76406,3.96622,275.85
-73.76406,3.96722,276.04
-73.76406,3.96822,276.24
-73.76406,3.96922,276.46
-73.76406,3.97022,276.69
-73.76406,3.97122,276.93
-73.76406,3.97222,277.18
-73.76406,3.97322,277.44
-73.76406,3.97422,277.72
-73.76406,3.97522,278.00
-73.76406,3.97622,278.29
-73.76406,3.97722,278.59
-73.76406,3.97822,278.90
-73.76406,3.97922,279.22
-73.76406,3.98022,279.54
-73.76406,3.98122,279.87
-73.76406,3.98222,280.21
-73.76406,3.98322,280.55
-73.76406,3.98422,280.90
-73.76406,3.98522,281.25
-73.76406,3.98622,281.61
-73.76406,3.98722,281.98
-73.76406,3.98822,282.34
-73.76406,3.98922,282.72
-73.76406,3.99022,283.09
-73.76406,3.99122,283.47
-73.76406,3.99222,283.86
-73.76406,3.99322,284.24
-73.76406,3.99422,284.63
-73.76406,3.99522,285.03
-73.76406,3.99622,285.42
-73.76406,3.99722,285.82
-73.76406,3.99822,286.22
-73.76406,3.99922,286.62
-73.76406,4.00022,287.02
-73.76406,4.00122,287.43
-73.76406,4.00222,287.83
-73.76406,4.00322,288.24
-73.76406,4.00422,288.65
-73.76406,4.00522,289.05
-73.76306,3.90422,321.65
-73.76306,3.90522,321.46
-73.76306,3.90622,321.27
-73.76306,3.90722,321.09
-73.76306,3.90822,320.92
-73.76306,3.90922,320.75
-73.76306,3.91022,320.59
-73.76306,3.91122,320.43
-73.76306,3.91222,320.27
-73.76306,3.91322,320.13
-73.76306,3.91422,319.99
-73.76306,3.91522,319.86
-73.76306,3.91622,319.73
-73.76306,3.91722,319.61
-73.76306,3.91822,319.50
-73.76306,3.91922,319.40
-73.76306,3.92022,315.38
-73.76306,3.92122,310.96
-73.76306,3.92222,306.55
-73.76306,3.92322,302.21
-73.76306,3.92422,298.02
-73.76306,3.92522,294.03
-73.76306,3.92622,290.29
-73.76306,3.92722,286.82
-73.76306,3.92822,283.64
-73.76306,3.92922,280.75
-73.76306,3.93022,278.16
-73.76306,3.93122,275.84
-73.76306,3.93222,273.78
-73.76306,3.93322,271.96
-73.76306,3.93422,270.37
-73.76306,3.93522,268.99
-73.76306,3.93622,267.79
-73.76306,3.93722,266.77
-73.76306,3.93822,265.91
-73.76306,3.93922,265.20
-73.76306,3.94022,264.62
-73.76306,3.94122,264.16
-73.76306,3.94222,263.81
-73.76306,3.94322,263.57
-73.76306,3.94422,263.42
-73.76306,3.94522,263.36
-73.76306,3.94622,263.39
-73.76306,3.94722,263.49
-73.76306,3.94822,263.67
-73.76306,3.94922,263.91
-73.76306,3.95022,264.21
-73.76306,3.95122,264.58
-73.76306,3.95222,265.00
-73.76306,3.95322,265.48
-73.76306,3.95422,266.00
-73.76306,3.95522,266.57
-73.76306,3.95622,267.19
-73.76306,3.95722,267.85
