LON,LAT,GAP
-73.76406,3.90422,293.88
-73.76406,3.90522,293.55
-73.76406,3.90622,293.23
-73.76406,3.90722,292.93
-73.76406,3.90822,292.66
-73.76406,3.90922,292.42
-73.76406,3.91022,292.22
-73.76406,3.91122,292.06
-73.76406,3.91222,291.95
-73.76406,3.91322,291.90
-73.76406,3.91422,291.94
-73.76406,3.91522,292.07
-73.76406,3.91622,292.34
-73.76406,3.91722,292.76
-73.76406,3.91822,293.41
-73.76406,3.91922,294.35
-73.76406,3.92022,295.71
-73.76406,3.92122,297.66
-73.76406,3.92222,300.53
-73.76406,3.92322,304.86
-73.76406,3.92422,311.66
-73.76406,3.92522,319.59
-73.76406,3.92622,319.57
-73.76406,3.92722,312.16
-73.76406,3.92822,286.94
-73.76406,3.92922,269.89
-73.76406,3.93022,259.64
-73.76406,3.93122,253.40
-73.76406,3.93222,249.43
-73.76406,3.93322,246.83
-73.76406,3.93422,245.09
-73.76406,3.93522,243.94
-73.76406,3.93622,243.19
-73.76406,3.93722,242.75
-73.76406,3.93822,242.53
-73.76406,3.93922,242.49
-73.76406,3.94022,242.60
-73.76406,3.94122,242.82
-73.76406,3.94222,243.14
-73.76406,3.94322,243.54
-73.76406,3.94422,244.01
-73.76406,3.94522,244.55
-73.76406,3.94622,245.14
-73.76406,3.94722,245.78
-73.76406,3.94822,246.47
-73.76406,3.94922,247.21
-73.76406,3.95022,247.98
-73.76406,3.95122,248.79
-73.76406,3.95222,249.63
-73.76406,3.95322,250.51
-73.76406,3.95422,251.41
-73.76406,3.95522,252.35
-73.76406,3.95622,253.31
-73.76406,3.95722,254.29
-73.76406,3.95822,255.30
-73.76406,3.95922,256.34
-73.76406,3.96022,257.39
-73.76406,3.96122,258.47
-73.76406,3.96222,259.56
-73.76406,3.96322,260.67
-73.76406,3.96422,261.80
-73.76406,3.96522,262.78
-73.76406,3.96622,263.21
-73.76406,3.96722,263.65
-73.76406,3.96822,264.09
-73.76406,3.96922,264.54
-73.76406,3.97022,264.99
-73.76406,3.97122,265.45
-73.76406,3.97222,265.91
-73.76406,3.97322,266.37
-73.76406,3.97422,266.84
-73.76406,3.97522,267.31
-73.76406,3.97622,267.78
-73.76406,3.97722,268.26
-73.76406,3.97822,268.74
-73.76406,3.97922,269.22
-73.76406,3.98022,269.70
-73.76406,3.98122,270.19
-73.76406,3.98222,270.68
-73.76406,3.98322,271.16
-73.76406,3.98422,271.65
-73.76406,3.98522,272.15
-73.76406,3.98622,272.64
-73.76406,3.98722,273.13
-73.76406,3.98822,273.63
