LON,LAT,GAP
-71.90225,3.60019,321.22
-71.90225,3.60519,320.17
-71.90225,3.61019,319.10
-71.90225,3.61519,318.01
-71.90225,3.62019,316.91
-71.90225,3.62519,315.80
-71.90225,3.63019,314.68
-71.90225,3.63519,313.56
-71.90225,3.64019,312.44
-71.90225,3.64519,311.33
-71.90225,3.65019,310.24
-71.90225,3.65519,309.16
-71.90225,3.66019,308.11
-71.90225,3.66519,307.09
-71.90225,3.67019,306.11
-71.90225,3.67519,305.18
-71.90225,3.68019,304.30
-71.90225,3.68519,303.48
-71.90225,3.69019,302.73
-71.90225,3.69519,302.06
-71.90225,3.70019,301.47
-71.90225,3.70519,300.97
-71.90225,3.71019,300.58
-71.90225,3.71519,300.28
-71.90225,3.72019,300.10
-71.90225,3.72519,300.04
-71.90225,3.73019,300.10
-71.90225,3.73519,300.29
-71.90225,3.74019,300.62
-71.90225,3.74519,301.08
-71.90225,3.75019,301.67
-71.90225,3.75519,302.41
-71.90225,3.76019,303.29
-71.90225,3.76519,304.30
-71.90225,3.77019,305.44
-71.90225,3.77519,306.72
-71.90225,3.78019,308.11
-71.90225,3.78519,309.62
-71.90225,3.79019,311.23
-71.90225,3.79519,312.92
-71.90225,3.80019,314.69
-71.90225,3.80519,316.51
-71.90225,3.81019,318.38
-71.90225,3.81519,320.28
-71.90225,3.82019,322.18
-71.90225,3.82519,324.08
-71.90225,3.83019,325.97
-71.90225,3.83519,327.52
-71.90225,3.84019,328.94
-71.90225,3.84519,330.34
-71.90225,3.85019,331.71
-71.90225,3.85519,333.05
-71.90225,3.86019,334.34
-71.90225,3.86519,334.65
-71.90225,3.87019,334.77
-71.90225,3.87519,334.91
-71.90225,3.88019,335.07
-71.90225,3.88519,335.25
-71.90225,3.89019,335.44
-71.90225,3.89519,335.64
-71.90225,3.90019,335.85
-71.90225,3.90519,336.07
-71.90225,3.91019,336.29
-71.90225,3.91519,336.52
-71.90225,3.92019,336.76
-71.90225,3.92519,337.00
-71.90225,3.93019,337.24
-71.90225,3.93519,337.49
-71.90225,3.94019,337.74
-71.89725,3.60019,320.86
-71.89725,3.60519,319.76
-71.89725,3.61019,318.63
-71.89725,3.61519,317.48
-71.89725,3.62019,316.32
-71.89725,3.62519,315.14
-71.89725,3.63019,313.95
-71.89725,3.63519,312.75
-71.89725,3.64019,311.56
-71.89725,3.64519,310.37
-71.89725,3.65019,309.19
-71.89725,3.65519,308.03
-71.89725,3.66019,306.89
-71.89725,3.66519,305.78
-71.89725,3.67019,304.72
-71.89725,3.67519,303.70
-71.89725,3.68019,302.73
-71.89725,3.68519,301.83
-71.89725,3.69019,301.00
-71.89725,3.69519,300.25
-71.89725,3.70019,299.60
-71.89725,3.70519,299.03
-71.89725,3.71019,298.57
-71.89725,3.71519,298.23
-71.89725,3.72019,298.00
-71.89725,3.72519,297.91
-71.89725,3.73019,297.94
-71.89725,3.73519,298.11
-71.89725,3.74019,298.43
-71.89725,3.74519,298.90
-71.89725,3.75019,299.51
-71.89725,3.75519,300.28
-71.89725,3.76019,301.21
-71.89725,3.76519,302.28
-71.89725,3.77019,303.50
-71.89725,3.77519,304.87
-71.89725,3.78019,306.37
-71.89725,3.78519,307.99
-71.89725,3.79019,309.73
-71.89725,3.79519,311.56
-71.89725,3.80019,313.48
-71.89725,3.80519,315.46
-71.89725,3.81019,317.48
-71.89725,3.81519,319.53
